unit	geo	name	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 
THS_T	AT	Austria	21644.966 s	19098.895 s	18759.618 s	22657.16 s	21940.199 s	18897.348 s	17857.058 s	20940.772 s	20899.591 s	17672.63 s	17072.051 s	20312.168 s	20311.464 s	17534.873 s	16884.71 s	19620.634 s	18690.521 s	16914.743 s	16384.204 s	18981.008 s	19416.468 s	16927.573 s	16548.595 s	19357.747 s	19206.587 s	16941.551 s	15980.727 s	19979.058 s	20700.347 s	17631.731 s	17086.405 s	19727.821 s	19853.943 s	16554.154 s	16103.998 s	19357.403 s	19316.384 s	18199.692 s	17755.619 s	19893.014 s	19639.544 s	14318.847 s	16366.038 s	18738.967 s	18855.535 s	17630.142 s	17338.544 s	19888.283 s	19192.432 s	16909.263 s	15702.846 s	17618.605 s	17757.564 s	16106.916 s	14751.865 s	16784.366 s	16815.539 s
THS_T	BE	Belgium	38388.514 s	32231.774 s	28631.208 s	36872.156 s	35696.738 s	29676.862 s	27640.829 s	33014.441 s	34575.571 s	29447.124 s	26584.422 s	32235.128 s	35220.184 s	30055.735 s	25302.49 s	31717.408 s	31775.092 s	27709.093 s	25507.453 s	31519.898 s	33789.899 s	28587.486 s	26382.991 s	31269.047 s	32813.704 s	28216.723 s	25206.81 s	33233.944 s	33303.187 s	28585.257 s	25153.602 s	32181.718 s	33812.992 s	27664.156 s	25877.099 s	32955.628 s	32829.318 s	28995.4 s	25899.565 s	32059.957 s	31387.948 s	23679.647 s	24118.217 s	29083.195 s	30749.222 s	27552.72 s	22917.228 s	29334.297 s	29326.266 s	25160.995 s	23338.296 s	27631.93 s	28806.237 s	24573.935 s	21249.954 s	25627.584 s	27067.157 s
THS_T	BG	Bulgaria	14999.921 s	13301.079 s	15322.393 s	17101.399 s	16215.832 s	15374.28 s	15997.222 s	18472.591 s	16589.006 s	13872.86 s	14997.999 s	15544.702 s	13486.274 s	11303.615 s	14096.617 s	16747.178 s	14753.827 s	13137.363 s	14613.858 s	16308.312 s	15023.641 s	13938.237 s	16149.881 s	16763.156 s	14171.426 s	12890.063 s	14913.208 s	17493.215 s	15733.088 s	14518.653 s	15385.996 s	15840.065 s	13996.529 s	12657.411 s	14409.788 s	16011.056 s	14508.599 s	12743.275 s	13911.66 s	14494.718 s	12922.666 s	10784.528 s	12459.071 s	13317.125 s	12630.319 s	12543.511 s	14660.767 s	15983.584 s	15935.718 s	13780.899 s	14270.96 s	14964.951 s	13183.132 s	10269.534 s	11635.917 s	12453.861 s	11185.336 s
THS_T	CY	Cyprus	2623.032 s	2349.008 s	2706.075 s	2419.351 s	2571.621 s	2307.115 s	2378.426 s	2316.762 s	2411.465 s	2075.183 s	2374.25 s	2054.974 s	2002.371 s	1925.807 s	2123.038 s	2053.856 s	2098.622 s	1985.181 s	2237.749 s	2069.56 s	2081.281 s	1925.824 s	2220.577 s	2053.036 s	2167.161 s	2054.002 s	2355.263 s	2186.696 s	2393.52 s	2085.911 s	2382.562 s	2183.257 s	2257.266 s	2188.723 s	2383.485 s	2189.535 s	2276.047 s	2080.692 s	2396.357 s	2130.689 s	2273.94 s	1721.865 s	2388.809 s	2171.031 s	2148.779 s	2001.13 s	2412.526 s	2121.71 s	2364.912 s	2005.784 s	2332.669 s	2080.511 s	2188.609 s	2030.1 s	2408.754 s	2123.365 s	2189.4 s
THS_T	CZ	Czechia	35766.465 s	30580.501 s	30259.264 s	35435.331 s	34468.742 s	30449.846 s	29840.278 s	34312.367 s	34842.812 s	30324.976 s	27505.779 s	32268.186 s	33034.653 s	28420.644 s	27068.856 s	31680.414 s	32115.81 s	28334.722 s	26794.939 s	31269.44 s	32064.053 s	28126.401 s	27106.835 s	31416.719 s	32181.829 s	28220.571 s	27614.122 s	33125.866 s	33083.889 s	27961.607 s	26789.242 s	31881.282 s	32920.373 s	26989.398 s	27869.66 s	32321.666 s	31429.823 s	26685.599 s	26237.198 s	29694.992 s	29070.96 s	22490.673 s	23447.851 s	28548.781 s	29309.642 s	25100.407 s	24899.567 s	30415.909 s	29477.574 s	25215.999 s	25170.606 s	28371.249 s	27214.271 s	22802.276 s	22593.102 s	26575.918 s	25744.022 s
THS_T	DE	Germany	268777.098 s	235094.434 s	221797.296 s	273656.121 s	265263.81 s	225212.09 s	219478.217 s	260025.83 s	269983.097 s	229408.972 s	220018.8 s	262136.135 s	278177.669 s	234684.992 s	226873.765 s	260032.523 s	257205.662 s	220585.488 s	214775.435 s	253206.235 s	260929.199 s	221098.195 s	223788.346 s	253502.786 s	260567.441 s	225409.951 s	214464.609 s	255152.784 s	265277.477 s	222229.929 s	214228.773 s	241200.971 s	254942.256 s	209481.015 s	211364.471 s	240156.477 s	237710.972 s	201967.989 s	191913.61 s	224609.254 s	216454.974 s	160641.221 s	174667.303 s	214657.541 s	214143.943 s	187901.893 s	180520.863 s	218153.207 s	215600.479 s	186358.638 s	181148.697 s	205713.734 s	209628.803 s	172224.312 s	158790.837 s	193672.907 s	195589.062 s
THS_T	DK	Denmark	27047.717 s	24402.614 s	24105.418 s	27171.313 s	27513.081 s	24809.952 s	23715.576 s	25544.866 s	25659.168 s	23047.783 s	21640.031 s	24303.473 s	25323.209 s	23187.43 s	21694.015 s	22910.795 s	22570.76 s	20993.424 s	21158.922 s	22129.546 s	22824.759 s	21713.354 s	20081.7 s	22261.897 s	23868.781 s	21681.067 s	21354.052 s	23062.139 s	23450.099 s	22093.03 s	21422.97 s	23044.948 s	24163.733 s	22606.469 s	21958.279 s	23697.508 s	23367.789 s	22423.473 s	21095.635 s	22080.32 s	21225.472 s	18564.919 s	18828.847 s	19919.47 s	21140.728 s	20943.28 s	20421.752 s	21045.296 s	20238.375 s	20143.835 s	19371.758 s	19676.843 s	19520.47 s	18780.737 s	17993.218 s	18751.283 s	18827.236 s
THS_T	EE	Estonia	6185.146 s	5181.505 s	5338.146 s	6228.112 s	6207.428 s	5296.562 s	5608.14 s	5849.201 s	5589.012 s	5077.582 s	5318.241 s	6061.229 s	6414.255 s	5852.007 s	6198.324 s	6015.625 s	5665.997 s	5845.56 s	5944.126 s	6098.771 s	5440.811 s	4888.734 s	5025.678 s	5069.119 s	5224.505 s	4577.987 s	5772.291 s	6005.696 s	6280.227 s	5719.073 s	5394.148 s	5666.779 s	5968.305 s	5268.912 s	5554.583 s	5112.645 s	4981.613 s	3782.603 s	3524.223 s	3621.512 s	3007.068 s	2594.217 s	3293.27 s	3311.983 s	3238.469 s	2928.333 s	3302.923 s	4126.633 s	3846.731 s	3660.282 s	3899.853 s	4132.74 s	3326.174 s	2816.828 s	2685.385 s	3162.974 s	3159.872 s
THS_T	EL	Greece	33418.73 s	31053.345 s	33839.452 s	31241.842 s	33104.543 s	29303.051 s	31777.62 s	31899.009 s	33513.357 s	28202.192 s	30841.611 s	29704.606 s	27014.109 s	26112.473 s	28704.986 s	28320.301 s	27451.951 s	25580.009 s	27065.175 s	26980.347 s	26552.834 s	24293.165 s	26786.398 s	27286.81 s	25376.852 s	23468.168 s	25871.778 s	27847.293 s	27837.559 s	24978.358 s	27621.366 s	27779.862 s	26310.196 s	24958.483 s	27593.258 s	28080.595 s	27107.13 s	24514.969 s	25710.65 s	24157.01 s	24809.152 s	19799.173 s	22558.276 s	22592.905 s	22279.761 s	21721.402 s	24199.895 s	23320.447 s	24047.848 s	21495.822 s	24441.043 s	22029.479 s	22345.421 s	21421.479 s	23163.552 s	21978.373 s	22670.51 s
THS_T	ES	Spain	91504.647 s	87789.24 s	88063.585 s	94878.104 s	94462.841 s	87203.246 s	88513.213 s	92337.24 s	96036.973 s	86449.9 s	84465.405 s	88650.637 s	82118.702 s	78884.049 s	80774.726 s	86965.479 s	80514.67 s	80343.941 s	83828.492 s	86624.339 s	87704.626 s	83178.758 s	84894.245 s	87952.107 s	82557.611 s	79368.132 s	80897.315 s	89517.561 s	86759.179 s	83746.468 s	83039.087 s	92324.274 s	87737.335 s	83046.65 s	81793.232 s	87463.745 s	82857.615 s	79852.592 s	78191.264 s	80954.164 s	75791.541 s	57603.878 s	69753.442 s	74023.317 s	71614.406 s	72463.534 s	71921.431 s	79332.002 s	77723.264 s	75688.072 s	74797.949 s	76228.93 s	76243.086 s	72434.692 s	70572.731 s	74015.105 s	73475.406 s
THS_T	EU27_2020	Europe	1179135.164 s	1032849.923 s	1002477.699 s	1190904.183 s	1168936.115 s	1005631.024 s	981222.222 s	1134578.268 s	1159049.61 s	992001.601 s	962443.475 s	1102653.281 s	1121352.48 s	968070.268 s	947993.878 s	1082225.393 s	1048049.664 s	937979.962 s	923462.143 s	1057550.975 s	1074547.252 s	943775.673 s	944725.416 s	1064368.336 s	1064432.262 s	944864.397 s	927559.165 s	1095474.077 s	1099441.694 s	962393.571 s	939796.257 s	1075337.082 s	1089670.18 s	928610.511 s	934261.555 s	1057961.043 s	1038765.811 s	919268.856 s	891717.26 s	1003508.894 s	964268.017 s	739543.107 s	824935.975 s	949989.757 s	953244.94 s	865516.405 s	854121.802 s	992251.904 s	969825.907 s	863454.495 s	846976.519 s	934594.81 s	931465.82 s	814489.557 s	786279.998 s	897941.202 s	893769.493 s
THS_T	FI	Finland	22508.791 s	18696.857 s	17133.452 s	21634.823 s	21841.986 s	17349.15 s	15085.59 s	17424.262 s	18340.691 s	15552.371 s	14485.745 s	17558.682 s	18420.378 s	15777.114 s	14975.067 s	17276.614 s	16785.034 s	14687.808 s	14298.947 s	16285.621 s	15781.249 s	13958.3 s	13177.028 s	15819.135 s	16843.878 s	14550.629 s	13584.457 s	16971.525 s	16317.552 s	14259.456 s	13051.397 s	15286.35 s	16576.941 s	13849.862 s	13780.474 s	15854.63 s	15763.28 s	13529.869 s	13074.125 s	14713.254 s	13724.53 s	11575.603 s	11323.499 s	12740.731 s	13357.506 s	11513.005 s	11134.166 s	13252.672 s	12529.133 s	11637.435 s	11144.232 s	12871.545 s	12334.443 s	10522.233 s	10018.895 s	11661.046 s	11614.327 s
THS_T	FR	France	149513.737 s	127848.68 s	118262.109 s	147422.057 s	146989.314 s	120713.955 s	112653.773 s	137826.603 s	146916.09 s	122464.389 s	113898.998 s	136857.163 s	146237.445 s	122824.725 s	112911.77 s	134928.741 s	131409.744 s	115433.865 s	107692.812 s	128616.628 s	136184.72 s	113693.795 s	107963.116 s	127767.091 s	130899.504 s	115224.698 s	107183.246 s	132687.92 s	135211.934 s	116055.089 s	109810.739 s	132435.778 s	133176.015 s	111244.133 s	106767.957 s	125820.108 s	127188.932 s	112999.095 s	105181.025 s	121457.899 s	118374.304 s	86795.105 s	98821.931 s	115142.76 s	117944.204 s	105911.803 s	100129.793 s	119484.965 s	119084.177 s	105803.47 s	100589.35 s	113256.821 s	116907.226 s	103189.566 s	96180.743 s	110266.304 s	113038.919 s
THS_T	HR	Croatia	7063.371 s	6622.677 s	7571.832 s	7413.437 s	7097.491 s	6618.598 s	7170.153 s	7430.995 s	7021.016 s	6048.044 s	6733.361 s	6687.711 s	6280.118 s	5754.407 s	6471.733 s	6731.877 s	6092.518 s	5877.014 s	6090.948 s	6439.364 s	6173.285 s	5799.813 s	6348.087 s	6676.667 s	6109.926 s	5948.062 s	6339.161 s	6834.116 s	6509.751 s	6106.87 s	6633.818 s	6877.828 s	6292.824 s	5574.658 s	6490.658 s	6527.978 s	6316.299 s	5816.999 s	6485.935 s	6443.302 s	6179.449 s	5324.519 s	6203.79 s	6371.176 s	6150.193 s	5725.915 s	6439.005 s	6352.493 s	6104.095 s	5750.692 s	6205.235 s	5986.886 s	5907.039 s	5757.241 s	6179.572 s	5961.86 s	5653.761 s
THS_T	HU	Hungary	19240.228 s	16269.482 s	16007.048 s	20336.183 s	19615.698 s	15767.596 s	15633.694 s	19947.465 s	18513.115 s	14481.398 s	15041.819 s	17775.782 s	17118.143 s	14273.888 s	14481.796 s	17603.432 s	16383.487 s	14641.969 s	15143.927 s	18094.884 s	17799.938 s	15273.523 s	15847.119 s	18876.308 s	17562.468 s	15238.873 s	15895.284 s	19198.39 s	18629.31 s	15636.348 s	16383.775 s	19798.558 s	19237.594 s	15469.112 s	16394.236 s	19461.946 s	18430.833 s	15823.822 s	16362.801 s	18841.566 s	18424.522 s	13651.074 s	15440.89 s	18347.671 s	17289.731 s	15746.721 s	15656.288 s	19223.354 s	17768.586 s	15492.591 s	14973.467 s	17514.614 s	16342.768 s	14570.723 s	14440.897 s	17075.671 s	15615.842 s
THS_T	IE	Ireland	19089.119 s	17455.394 s	16036.479 s	18106.862 s	18176.751 s	16540.395 s	15773.02 s	16887.591 s	17640.486 s	17317.711 s	16007.299 s	17780.591 s	18353.408 s	17222.619 s	16074.073 s	17275.04 s	17768.585 s	17184.895 s	16389.463 s	17436.941 s	18582.491 s	17779.882 s	17342.84 s	17927.067 s	19612.19 s	19031.295 s	17994.384 s	19936.983 s	20081.996 s	19383.264 s	19019.536 s	20210.469 s	20941.483 s	20142.294 s	19116.906 s	20001.011 s	19239.231 s	20173.913 s	18911.635 s	19733.373 s	18567.149 s	13772.606 s	15999.268 s	16403.043 s	15891.271 s	16406.795 s	17436.1 s	17917.037 s	17558.576 s	18636.594 s	18857.951 s	18842.713 s	18343.155 s	18856.111 s	17970.569 s	18121.666 s	18208.013 s
THS_T	IT	Italy	147134.457 s	125867.911 s	122581.864 s	144849.001 s	147296.775 s	122628.641 s	118921.185 s	137586.119 s	143982.699 s	119418.246 s	115605.387 s	128402.467 s	133615.753 s	107724.326 s	106721.186 s	123458.791 s	122488.699 s	104945.918 s	102429.092 s	118990.393 s	124651.217 s	105224.522 s	105906.04 s	122904.306 s	125594.324 s	103809.166 s	102486.914 s	123723.733 s	124928.451 s	104410.385 s	100983.082 s	123201.235 s	126666.113 s	101080.807 s	101743.362 s	118842.107 s	122278.755 s	103948.83 s	100228.588 s	112427.179 s	111309.572 s	79558.394 s	94314.369 s	108813.856 s	113540.996 s	99196.463 s	97976.242 s	117593.374 s	120056.761 s	100873.73 s	98501.453 s	109482.877 s	113897.555 s	95657.056 s	93366.398 s	105198.584 s	109474.309 s
THS_T	LT	Lithuania	5897.681 s	5237.279 s	5687.125 s	6145.137 s	5680.843 s	5686.749 s	6137.874 s	6053.147 s	5742.822 s	5480.102 s	6259.939 s	5926.766 s	5322.419 s	5279.849 s	6114.047 s	5504.111 s	5255.427 s	5304.586 s	6085.326 s	5749.45 s	5293.378 s	5824.658 s	6101.101 s	5834.5 s	5329.664 s	5957.474 s	6147.801 s	5906.882 s	5500.397 s	5932.309 s	6405.492 s	6306.917 s	5875.06 s	6322.7 s	6622.48 s	6159.543 s	5849.414 s	6334.486 s	6729.658 s	6567.435 s	6197.209 s	6690.998 s	7485.855 s	6673.727 s	5906.948 s	6387.605 s	6800.542 s	6265.537 s	5664.549 s	5957.616 s	6409.505 s	6265.639 s	5512.144 s	6131.722 s	6350.538 s	6157.714 s	5921.878 s
THS_T	LU	Luxembourg	2749.147 s	2426.124 s	2285.497 s	2722.279 s	2708.447 s	2315.134 s	1906.395 s	2446.248 s	2555.781 s	2272.42 s	2036.221 s	2390.062 s	2543.556 s	2132.429 s	1933.072 s	2484.233 s	2491.874 s	2179.755 s	2004.164 s	2558.613 s	2954.851 s	2428.678 s	2264.453 s	2588.28 s	2739.13 s	2458.822 s	2263.099 s	2715.225 s	2724.409 s	2474.418 s	2339.297 s	2651.801 s	2723.075 s	2329.165 s	2299.334 s	2875.66 s	2560.381 s	2548.993 s	2681.834 s	2912.427 s	2625.573 s	2455.843 s	2280.732 s	2529.335 s	2564.666 s	2461.398 s	2268.528 s	2585.069 s	2519.84 s	2266.785 s	2147.251 s	2415.2 s	2324.85 s	2178.666 s	2058.477 s	2434.856 s	2309.981 s
THS_T	LV	Latvia	3767.606 s	2969.828 s	3255.764 s	3586.769 s	3416.473 s	2878.052 s	3008.321 s	3335.917 s	3291.745 s	2723.753 s	3144.617 s	3179.67 s	3187.354 s	2662.046 s	3101.48 s	3220.914 s	2940.531 s	3003.694 s	3076.743 s	3281.762 s	2899.572 s	2939.884 s	3297.758 s	3362.66 s	2991.445 s	2962.803 s	3101.112 s	3385.444 s	3174.962 s	3094.937 s	3177.53 s	3264.492 s	3295.246 s	3116.933 s	3361.197 s	3456.334 s	3023.039 s	3207.058 s	3659.12 s	3259.365 s	2826.366 s	2852.691 s	3007.351 s	2996.487 s	2951.968 s	2832.614 s	3130.721 s	3063.879 s	2727.451 s	2729.557 s	2973.605 s	3146.981 s	2862.207 s	2812.003 s	3035.725 s	3031.621 s	3024.766 s
THS_T	MT	Malta	776.199 s	765.027 s	867.398 s	763.07 s	770.4 s	752.094 s	890.019 s	769.523 s	827.562 s	799.864 s	952.725 s	775.758 s	762.756 s	723.967 s	826.033 s	727.79 s	743.448 s	737.279 s	843.528 s	738.319 s	755.843 s	552.104 s	567.402 s	502.984 s	511.37 s	481.496 s	574.64 s	504.824 s	527.633 s	540.991 s	642.355 s	553.992 s	566.682 s	558.169 s	636.505 s	573.354 s	619.797 s	629.25 s	651.978 s	583.204 s	635.838 s	500.038 s	598.63 s	489.46 s	519.019 s	557.151 s	612.955 s	538.14 s	563.012 s	556.069 s	646.41 s	561.802 s	566.539 s	601.035 s	704.428 s	616.287 s	616.291 s
THS_T	NL	Netherlands	64196.727 s	55098.421 s	50663.107 s	62787.199 s	61014.198 s	51448.923 s	48444.236 s	57967.759 s	59734.459 s	51134.239 s	47869.53 s	56908.632 s	59490.685 s	51864.025 s	47684.441 s	57041.295 s	55135.559 s	50373.478 s	47684.698 s	56746.308 s	58822.074 s	52140.014 s	49442.05 s	56605.974 s	58180.303 s	51664.263 s	48463.352 s	58658.845 s	58719.316 s	51485.768 s	47222.312 s	56243.946 s	58236.566 s	49576.374 s	46294.858 s	54019.477 s	58269.848 	45982.305 	42871.474 	57304.145 	53283.138 	38283.608 	41306.701 	49320.055 	52471.808 	42717.816 	40060.236 	49794.048 	48359.471 	41091.612 	39378.146 	45491.637 	47176.842 	40237.45 	37428.363 	44879.285 	46219.987 
THS_T	PL	Poland	112272.876 s	94706.747 s	93105.076 s	116175.066 s	112474.755 s	95503.688 s	92918.553 s	113579.268 s	111646.999 s	93834.677 s	90810.273 s	110263.191 s	109790.982 s	92926.378 s	92074.614 s	107483.541 s	103317.687 s	91298.027 s	89472.626 s	106811.879 s	103378.391 s	91578.598 s	91083.975 s	107585.584 s	105959.816 s	93740.662 s	92922.116 s	115113.136 s	114664.406 s	99393.122 s	97821.936 s	114182.438 s	116358.892 s	96520.294 s	98822.507 s	114435.648 s	107891.627 s	96088.124 s	94309.785 s	107098.73 s	104059.377 s	86725.298 s	90591.659 s	107922.847 s	108631.328 s	97305.198 s	99602.051 s	115344.774 s	108869.252 s	95807.697 s	93124.088 s	107930.991 s	100972.806 s	86909.903 s	86309.859 s	105485.882 s	98767.499 s
